Country,Stock,Year,D1
Argentina,CAMUZZI GAS PAM 'B' (~U$),2014,0.4689681523079527
Argentina,CAMUZZI GAS PAM 'B' (~U$),2015,0.1549985656371917
Argentina,CAMUZZI GAS PAM 'B' (~U$),2016,0.6257305987078529
Argentina,CAMUZZI GAS PAM 'B' (~U$),2017,0.0526265132995269
Argentina,CAMUZZI GAS PAM 'B' (~U$),2018,0.0317576090187405
Argentina,CAMUZZI GAS PAM 'B' (~U$),2019,0.1712587994779985
Argentina,CAMUZZI GAS PAM 'B' (~U$),2020,0.2811495082538132
Argentina,CAMUZZI GAS PAM 'B' (~U$),2021,0.049222471821821
Argentina,CAMUZZI GAS PAM 'B' (~U$),2022,0.1691805646160438
Argentina,CAPEX (~U$),2001,0.2436882558894872
Argentina,CAPEX (~U$),2002,0.1029601035468066
Argentina,CAPEX (~U$),2003,0.0579584715637557
Argentina,CAPEX (~U$),2004,0.482518290921787
Argentina,CAPEX (~U$),2005,0.3945909635133111
Argentina,CAPEX (~U$),2006,0.9747884344809188
Argentina,CAPEX (~U$),2007,0.5509087386207194
Argentina,CAPEX (~U$),2008,0.2582259321541476
Argentina,CAPEX (~U$),2009,0.3104950539723179
Argentina,CAPEX (~U$),2010,0.2021094968934201
Argentina,CAPEX (~U$),2011,0.0828985691056122
Argentina,CAPEX (~U$),2012,0.6603154423511084
Argentina,CAPEX (~U$),2013,0.3533916372982586
Argentina,CAPEX (~U$),2014,0.2281556288648633
Argentina,CAPEX (~U$),2015,0.0945894294901048
Argentina,CAPEX (~U$),2016,0.1587062893395068
Argentina,CAPEX (~U$),2017,0.0196129731016027
Argentina,CAPEX (~U$),2018,0.120027229624044
Argentina,CAPEX (~U$),2019,0.0977875950828557
Argentina,CAPEX (~U$),2020,0.2142949397901729
Argentina,CAPEX (~U$),2021,0.5891335467743666
Argentina,CAPEX (~U$),2022,0.3109803725931339
Argentina,CAPUTO (~U$),2001,0.295248804522767
Argentina,CAPUTO (~U$),2002,0.7922024906629719
Argentina,CAPUTO (~U$),2003,0.983283080163506
Argentina,CAPUTO (~U$),2004,0.9997363612549708
Argentina,CAPUTO (~U$),2005,0.7942520406385665
Argentina,CAPUTO (~U$),2006,0.3530520663827367
Argentina,CAPUTO (~U$),2007,0.9991052423880332
Argentina,CAPUTO (~U$),2008,0.8679437595409976
Argentina,CAPUTO (~U$),2009,0.8919770926969798
Argentina,CAPUTO (~U$),2010,0.5154745652356355
Argentina,CAPUTO (~U$),2011,0.0668030552061238
Argentina,CAPUTO (~U$),2012,0.6703059613336422
Argentina,CAPUTO (~U$),2013,0.1970213172848578
Argentina,CAPUTO (~U$),2014,0.1197095098674699
Argentina,CAPUTO (~U$),2015,0.1718597871248003
Argentina,CAPUTO (~U$),2016,0.0952191298096026
Argentina,CAPUTO (~U$),2017,0.4652035367879437
Argentina,CAPUTO (~U$),2018,0.6599677868378848
Argentina,CAPUTO (~U$),2019,0.2574631532714422
Argentina,CAPUTO (~U$),2020,0.9181126886594142
Argentina,CAPUTO (~U$),2021,0.7916558774156541
Argentina,CAPUTO (~U$),2022,0.99994406424313
Argentina,CARBOCLOR (~U$),2001,0.3702691779199475
Argentina,CARBOCLOR (~U$),2002,0.2871948221576886
Argentina,CARBOCLOR (~U$),2003,0.10911029148159
Argentina,CARBOCLOR (~U$),2004,0.368108575476014
Argentina,CARBOCLOR (~U$),2005,0.183233545444642
Argentina,CARBOCLOR (~U$),2006,0.5867625657141353
Argentina,CARBOCLOR (~U$),2007,0.1050991316249043
Argentina,CARBOCLOR (~U$),2008,0.3368296625942784
Argentina,CARBOCLOR (~U$),2009,0.3044319775658465
Argentina,CARBOCLOR (~U$),2010,0.3918118454707093
Argentina,CARBOCLOR (~U$),2011,0.8006144079123985
Argentina,CARBOCLOR (~U$),2012,0.2480363135850987
Argentina,CARBOCLOR (~U$),2013,0.717393014359191
Argentina,CARBOCLOR (~U$),2014,0.5577817550295592
Argentina,CARBOCLOR (~U$),2015,0.3470153662621531
Argentina,CARBOCLOR (~U$),2016,0.5972915447675704
Argentina,CARBOCLOR (~U$),2017,0.2149690302011062
Argentina,CARBOCLOR (~U$),2018,0.6016406962870231
Argentina,CARBOCLOR (~U$),2019,0.4975852013705595
Argentina,CARBOCLOR (~U$),2020,0.9766914090541786
Argentina,CARBOCLOR (~U$),2021,0.8786785914302425
Argentina,CARBOCLOR (~U$),2022,0.3164084281134133
Argentina,CARLOS CASADO 'B' (~U$),2001,0.1825652699820853
Argentina,CARLOS CASADO 'B' (~U$),2002,0.1101264491725299
Argentina,CARLOS CASADO 'B' (~U$),2003,0.2798892509575408
Argentina,CARLOS CASADO 'B' (~U$),2004,0.1551255353116658
Argentina,CARLOS CASADO 'B' (~U$),2005,0.9881932420671176
Argentina,CARLOS CASADO 'B' (~U$),2006,0.9863999291640078
Argentina,CARLOS CASADO 'B' (~U$),2007,0.0306734694184882
Argentina,CARLOS CASADO 'B' (~U$),2008,0.6618766944651127
Argentina,CARLOS CASADO 'B' (~U$),2009,0.90326112211855
Argentina,CARLOS CASADO 'B' (~U$),2010,0.1177979964493449
Argentina,CARLOS CASADO 'B' (~U$),2011,0.3634810408154773
Argentina,CARLOS CASADO 'B' (~U$),2012,0.7158027180052735
Argentina,CARLOS CASADO 'B' (~U$),2013,0.1688357255785063
Argentina,CARLOS CASADO 'B' (~U$),2014,0.171396402284951
Argentina,CARLOS CASADO 'B' (~U$),2015,0.2607481342534075
Argentina,CARLOS CASADO 'B' (~U$),2016,0.4859319924537718
Argentina,CARLOS CASADO 'B' (~U$),2017,0.0827917668657438
Argentina,CARLOS CASADO 'B' (~U$),2018,0.316031026275981
Argentina,CARLOS CASADO 'B' (~U$),2019,0.322849363544117
Argentina,CARLOS CASADO 'B' (~U$),2020,0.3141177940143433
Argentina,CARLOS CASADO 'B' (~U$),2021,0.6220569446404864
Argentina,CARLOS CASADO 'B' (~U$),2022,0.2796221790812403
Argentina,CELULOSA (~U$),2001,0.3564262963084466
Argentina,CELULOSA (~U$),2002,0.0688111246571432
Argentina,CELULOSA (~U$),2003,0.0560200256331069
Argentina,CELULOSA (~U$),2004,0.1208343976303631
Argentina,CELULOSA (~U$),2005,0.1495254989822112
Argentina,CELULOSA (~U$),2006,0.1307567835579215
Argentina,CELULOSA (~U$),2007,0.1906851113963488
Argentina,CELULOSA (~U$),2008,0.1247123429350545
Argentina,CELULOSA (~U$),2009,0.82065947689273
Argentina,CELULOSA (~U$),2010,0.32624107004662
Argentina,CELULOSA (~U$),2011,0.2133443228391185
Argentina,CELULOSA (~U$),2012,0.1991548025088141
Argentina,CELULOSA (~U$),2013,0.2782324668068947
Argentina,CELULOSA (~U$),2014,0.050528075063795
Argentina,CELULOSA (~U$),2015,0.2154056067850418
Argentina,CELULOSA (~U$),2016,0.2633409874718327
Argentina,CELULOSA (~U$),2017,0.038318623773946
Argentina,CELULOSA (~U$),2018,0.1212026671330421
Argentina,CELULOSA (~U$),2019,0.0728676912224285
Argentina,CELULOSA (~U$),2020,0.2502182122992841
Argentina,CELULOSA (~U$),2021,0.183953919290011
Argentina,CELULOSA (~U$),2022,0.484801776529943
Argentina,CENTRAL PUERTO (~U$),2001,0.0155386035990068
Argentina,CENTRAL PUERTO (~U$),2002,0.490185212748809
Argentina,CENTRAL PUERTO (~U$),2003,0.0330907757186396
Argentina,CENTRAL PUERTO (~U$),2004,0.4548076114761661
Argentina,CENTRAL PUERTO (~U$),2005,0.6088858880303891
Argentina,CENTRAL PUERTO (~U$),2006,0.8749325861616768
Argentina,CENTRAL PUERTO (~U$),2007,0.117257180086117
Argentina,CENTRAL PUERTO (~U$),2008,0.0088153389061498
Argentina,CENTRAL PUERTO (~U$),2009,0.3807991728137719
Argentina,CENTRAL PUERTO (~U$),2010,0.3897443077603788
Argentina,CENTRAL PUERTO (~U$),2011,0.0944525555583288
Argentina,CENTRAL PUERTO (~U$),2012,0.3633862979383735
Argentina,CENTRAL PUERTO (~U$),2013,0.0649805227283988
Argentina,CENTRAL PUERTO (~U$),2014,0.0353938550909751
Argentina,CENTRAL PUERTO (~U$),2015,0.0150222745616607
Argentina,CENTRAL PUERTO (~U$),2016,0.0736242817009885
Argentina,CENTRAL PUERTO (~U$),2017,0.0556429463243561
Argentina,CENTRAL PUERTO (~U$),2018,0.0201826909051933
Argentina,CENTRAL PUERTO (~U$),2019,0.0068665098090779
Argentina,CENTRAL PUERTO (~U$),2020,0.0105537316139643
