#NAME?,NIKKEI 225 STOCK AVERAGE - PRICE INDEX,MSCI JAPAN - PRICE INDEX,TOPIX - PRICE INDEX,MSCI HONG KONG - PRICE INDEX,S&P HONG KONG BMI - PRICE INDEX,HANG SENG - PRICE INDEX,KOREA SE KOSPI 200 - PRICE INDEX,MSCI KOREA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX
8/31/1999,159.03,8.097,13.29,964.259,26.229,1736.31,0.1,0.196,0.79
9/1/1999,162.77,8.39,13.68,968.472,26.283,1744.28,0.09,0.188,0.76
9/2/1999,161.63,8.417,13.72,961.002,26.067,1721.47,0.09,0.187,0.76
9/3/1999,160,8.319,13.59,949.226,25.749,1697.05,0.09,0.19,0.76
9/6/1999,161.81,8.43,13.78,964.951,26.108,1723.65,0.1,0.196,0.79
9/7/1999,159.76,8.284,13.58,963.698,26.033,1725.03,0.1,0.196,0.79
9/8/1999,158.97,8.283,13.54,958.887,25.896,1719.87,0.1,0.194,0.78
9/9/1999,162.93,8.506,13.9,1003.433,26.804,1784.05,0.1,0.197,0.8
9/10/1999,163.05,8.511,13.95,1003.395,26.858,1784.18,0.1,0.199,0.81
9/13/1999,168.61,8.796,14.45,1003.856,26.901,1784.79,0.1,0.204,0.82
9/14/1999,168.7,8.807,14.47,1004.443,26.897,1777.7,0.1,0.2,0.81
9/15/1999,170.41,8.896,14.62,975.98,26.239,1729.73,0.1,0.196,0.8
9/16/1999,165.04,8.679,14.28,976.037,26.242,1729.84,0.09,0.187,0.76
9/17/1999,162.25,8.544,14.05,982.15,26.367,1736.39,0.09,0.189,0.77
9/20/1999,164.52,8.65,14.22,977.695,26.292,1734.68,0.09,0.191,0.78
9/21/1999,171.68,8.899,14.64,972.984,26.186,1727.9,0.1,0.196,0.8
9/22/1999,166.86,8.627,14.25,958.273,25.746,1697.99,0.09,0.192,0.78
9/23/1999,166.56,8.611,14.22,963.218,25.819,1701.34,0.09,0.192,0.78
9/24/1999,162.19,8.344,13.75,950.267,25.429,1677.85,0.09,0.191,0.78
9/27/1999,158.33,8.172,13.45,930.025,24.89,1642.83,0.09,0.182,0.75
9/28/1999,163.09,8.404,13.83,934.222,25.043,1653.59,0.09,0.18,0.74
9/29/1999,162.11,8.312,13.68,935.335,25.015,1652.28,0.09,0.174,0.71
9/30/1999,165.36,8.585,14.15,923.469,24.82,1639.23,0.08,0.167,0.69
10/1/1999,168.55,8.712,14.42,923.439,24.857,1639.18,0.08,0.168,0.69
10/4/1999,166.98,8.599,14.25,927.383,24.97,1657.55,0.08,0.164,0.67
10/5/1999,166.14,8.514,14.11,939.527,25.298,1673.34,0.08,0.16,0.66
10/6/1999,166.45,8.517,14.07,944.34,25.411,1675.82,0.08,0.171,0.69
10/7/1999,168.53,8.576,14.17,945.62,25.458,1687.99,0.09,0.174,0.71
10/8/1999,168.19,8.614,14.25,949.704,25.507,1687.9,0.08,0.17,0.7
10/11/1999,169.24,8.667,14.34,940.447,25.272,1672.45,0.08,0.168,0.69
10/12/1999,170.23,8.748,14.52,921.506,24.788,1642.26,0.09,0.173,0.71
10/13/1999,165.27,8.558,14.21,904.388,24.326,1605.76,0.09,0.173,0.71
10/14/1999,166.22,8.666,14.37,906.6,24.405,1607.19,0.09,0.176,0.72
10/15/1999,166.67,8.642,14.3,894.143,24.01,1582.95,0.09,0.175,0.72
10/18/1999,164.41,8.41,13.9,894.154,23.969,1582.97,0.08,0.167,0.69
10/19/1999,163.32,8.433,13.93,884.663,23.658,1561.8,0.08,0.164,0.67
10/20/1999,165.56,8.582,14.23,917.465,24.36,1608.69,0.08,0.168,0.69
10/21/1999,164.56,8.577,14.18,922.746,24.494,1611.81,0.08,0.165,0.68
10/22/1999,164.77,8.615,14.3,953.064,25.153,1655.5,0.08,0.166,0.68
10/25/1999,167.71,8.74,14.58,961.449,25.371,1677.36,0.08,0.161,0.66
10/26/1999,168.39,8.791,14.7,948.362,24.921,1646.84,0.08,0.161,0.66
10/27/1999,166.84,8.744,14.62,937.255,24.704,1635.57,0.08,0.161,0.66
10/28/1999,166.17,8.675,14.57,946.481,24.891,1642.04,0.08,0.167,0.68
10/29/1999,171.92,8.949,14.99,969.548,25.439,1706.28,0.08,0.169,0.69
11/1/1999,172.34,8.91,14.96,971.758,25.542,1714.81,0.09,0.18,0.73
11/2/1999,172.81,8.971,15.09,968.508,25.493,1716.54,0.09,0.184,0.75
